Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1658993063.4832845, 55.0, 55.0, 1.0, 16000, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_2 (V),VsCH_3 (V),VsCH_4 (V),VsCH_5 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),IsCH_1 (A),IsCH_2 (A),IsCH_3 (A),IsCH_4 (A),IsCH_5 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),TsCH_1 (s),TsCH_2 (s),TsCH_3 (s),TsCH_4 (s),TsCH_5 (s),TsCH_6 (s),TsCH_7 (s),TsCH_8 (s),TsCH_9 (s),TsCH_10 (s),TsCH_11 (s)
55.0,54.7459,0.00630,5.54074e+01,5.61923e+01,5.60694e+01,5.60711e+01,5.66162e+01,5.65731e+01,5.65751e+01,5.65995e+01,5.66247e+01,5.65918e+01,5.66037e+01,2.23147e-05,9.22928e-06,1.12773e-05,1.12493e-05,2.16257e-06,2.88025e-06,2.84752e-06,2.44104e-06,2.02049e-06,2.56949e-06,2.37062e-06,1658993271.7811582,1658993272.2465005,1658993272.7089694,1658993273.1716835,1658993273.6342273,1658993274.097201,1658993274.5597982,1658993275.0224655,1658993275.4856915,1658993275.9490745,1658993276.411764
55.0,54.7458,0.00630,5.54073e+01,5.61921e+01,5.60696e+01,5.60701e+01,5.66165e+01,5.65725e+01,5.65687e+01,5.65994e+01,5.66245e+01,5.65912e+01,5.66037e+01,2.23143e-05,9.23114e-06,1.12728e-05,1.12640e-05,2.15517e-06,2.88918e-06,2.95166e-06,2.44125e-06,2.02234e-06,2.57667e-06,2.36913e-06,1658993278.4320014,1658993278.8946822,1658993279.3571167,1658993279.8197355,1658993280.2822657,1658993280.7453895,1658993281.207938,1658993281.6704376,1658993282.137404,1658993282.604034,1658993283.0665636
55.0,54.7457,0.00630,5.54071e+01,5.61917e+01,5.60694e+01,5.60706e+01,5.66159e+01,5.65722e+01,5.65700e+01,5.65994e+01,5.66240e+01,5.65910e+01,5.66028e+01,2.23157e-05,9.23540e-06,1.12750e-05,1.12547e-05,2.16386e-06,2.89257e-06,2.92947e-06,2.43962e-06,2.02851e-06,2.57825e-06,2.38234e-06,1658993285.0867698,1658993285.549372,1658993286.0134108,1658993286.4759874,1658993286.9387755,1658993287.4010963,1658993287.8637686,1658993288.3265018,1658993288.7890043,1658993289.25145,1658993289.7142167
55.0,54.7462,0.00630,5.54078e+01,5.61924e+01,5.60698e+01,5.60707e+01,5.66167e+01,5.65727e+01,5.65734e+01,5.65997e+01,5.66246e+01,5.65916e+01,5.66038e+01,2.23127e-05,9.23268e-06,1.12769e-05,1.12606e-05,2.15960e-06,2.89203e-06,2.88153e-06,2.44223e-06,2.02779e-06,2.57678e-06,2.37474e-06,1658993291.7409704,1658993292.203759,1658993292.6663952,1658993293.129655,1658993293.5930383,1658993294.0556085,1658993294.518404,1658993294.9822268,1658993295.4442892,1658993295.9069653,1658993296.3691273
55.0,54.7459,0.00630,5.54074e+01,5.61921e+01,5.60693e+01,5.60707e+01,5.66160e+01,5.65725e+01,5.65736e+01,5.65991e+01,5.66213e+01,5.65880e+01,5.66007e+01,2.23141e-05,9.23273e-06,1.12794e-05,1.12557e-05,2.16548e-06,2.89001e-06,2.87278e-06,2.44659e-06,2.07785e-06,2.63206e-06,2.41995e-06,1658993298.3897114,1658993298.852951,1658993299.3167708,1658993299.782153,1658993300.2480872,1658993300.7093768,1658993301.171898,1658993301.6367788,1658993302.0995362,1658993302.562106,1658993303.0251138
55.0,54.7462,0.00630,5.54077e+01,5.61918e+01,5.60676e+01,5.60686e+01,5.66116e+01,5.65691e+01,5.65664e+01,5.65974e+01,5.66200e+01,5.65887e+01,5.66016e+01,2.23137e-05,9.24193e-06,1.13125e-05,1.12955e-05,2.24343e-06,2.95205e-06,2.99782e-06,2.48069e-06,2.10362e-06,2.62559e-06,2.41087e-06,1658993305.0537162,1658993305.516727,1658993305.979361,1658993306.441474,1658993306.9040787,1658993307.366689,1658993307.8291764,1658993308.291887,1658993308.7543764,1658993309.2179048,1658993309.681303
55.0,54.7464,0.00630,5.54079e+01,5.61924e+01,5.60661e+01,5.60674e+01,5.66040e+01,5.65630e+01,5.65659e+01,5.65945e+01,5.66117e+01,5.65841e+01,5.65978e+01,2.23145e-05,9.23533e-06,1.13413e-05,1.13198e-05,2.37448e-06,3.05741e-06,3.00954e-06,2.53217e-06,2.24574e-06,2.70547e-06,2.47787e-06,1658993311.7088184,1658993312.1714706,1658993312.6339343,1658993313.0969021,1658993313.5594544,1658993314.0220644,1658993314.4852128,1658993314.949337,1658993315.4119818,1658993315.8746655,1658993316.3369741
55.0,54.7461,0.00630,5.54076e+01,5.61916e+01,5.60612e+01,5.60633e+01,5.66049e+01,5.65597e+01,5.65539e+01,5.65858e+01,5.66154e+01,5.65817e+01,5.65922e+01,2.23134e-05,9.24338e-06,1.14180e-05,1.13825e-05,2.35397e-06,3.10681e-06,3.20466e-06,2.67315e-06,2.17900e-06,2.74075e-06,2.56550e-06,1658993318.3711176,1658993318.8335097,1658993319.2960598,1658993319.7601001,1658993320.2228196,1658993320.6851568,1658993321.1481488,1658993321.6093454,1658993322.072662,1658993322.5382135,1658993323.0013726
55.0,54.7457,0.00630,5.54073e+01,5.61913e+01,5.60590e+01,5.60583e+01,5.66123e+01,5.65712e+01,5.65602e+01,5.65873e+01,5.66186e+01,5.65839e+01,5.65944e+01,2.23129e-05,9.24235e-06,1.14476e-05,1.14601e-05,2.22344e-06,2.90912e-06,3.09249e-06,2.64043e-06,2.11928e-06,2.69671e-06,2.52235e-06,1658993325.0265021,1658993325.4879673,1658993325.9509387,1658993326.412315,1658993326.8773482,1658993327.3400264,1658993327.8030982,1658993328.2655344,1658993328.728276,1658993329.1908302,1658993329.6559098
55.0,54.7458,0.00630,5.54073e+01,5.61917e+01,5.60591e+01,5.60596e+01,5.66123e+01,5.65667e+01,5.65619e+01,5.65875e+01,5.66189e+01,5.65850e+01,5.65961e+01,2.23146e-05,9.23733e-06,1.14482e-05,1.14398e-05,2.22599e-06,2.98599e-06,3.06539e-06,2.63959e-06,2.11563e-06,2.68026e-06,2.49549e-06,1658993331.6748857,1658993332.137098,1658993332.6017802,1658993333.0649478,1658993333.5275514,1658993333.99017,1658993334.4529345,1658993334.9156928,1658993335.3783069,1658993335.8413093,1658993336.3041258
