Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659849617.2475626, 55.0, 55.0, 5.0, 5000, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_16 (V),IsCH_16 (A),TsCH_16 (s)
55.0,54.7472,0.02230,5.66351e+01,1.86813e-06,1659849939.7816858
55.0,54.7461,0.02230,5.66337e+01,1.87410e-06,1659849941.8128934
55.0,54.747,0.02230,5.66348e+01,1.87090e-06,1659849943.8407567
55.0,54.7474,0.02230,5.66354e+01,1.86713e-06,1659849945.8602962
55.0,54.7468,0.02230,5.66349e+01,1.86626e-06,1659849947.8901205
55.0,54.7472,0.02230,5.66376e+01,1.82677e-06,1659849949.919937
55.0,54.7475,0.02230,5.66383e+01,1.81965e-06,1659849951.9590547
55.0,54.7471,0.02230,5.66373e+01,1.83032e-06,1659849953.9703007
55.0,54.7468,0.02230,5.66373e+01,1.82555e-06,1659849956.0111468
55.0,54.7467,0.02230,5.66373e+01,1.82416e-06,1659849958.0466003
55.0,54.7467,0.02230,5.66376e+01,1.81904e-06,1659849960.0776253
55.0,54.7474,0.02230,5.66377e+01,1.82935e-06,1659849962.1146672
55.0,54.747,0.02230,5.66373e+01,1.82843e-06,1659849964.1543279
55.0,54.7465,0.02230,5.66376e+01,1.81531e-06,1659849966.1869438
55.0,54.7478,0.02230,5.66382e+01,1.82685e-06,1659849968.2172887
55.0,54.7466,0.02230,5.66369e+01,1.82905e-06,1659849970.2479148
55.0,54.7478,0.02230,5.66383e+01,1.82593e-06,1659849972.298921
55.0,54.7464,0.02230,5.66371e+01,1.82226e-06,1659849974.3286917
55.0,54.7482,0.02230,5.66391e+01,1.81840e-06,1659849976.3581934
55.0,54.7477,0.02230,5.66383e+01,1.82307e-06,1659849978.400735
55.0,54.747,0.02230,5.66377e+01,1.82197e-06,1659849980.425339
55.0,54.748,0.02230,5.66381e+01,1.83283e-06,1659849982.4559183
55.0,54.7474,0.02230,5.66379e+01,1.82584e-06,1659849984.4971175
55.0,54.7469,0.02230,5.66349e+01,1.86668e-06,1659849986.5292003
55.0,54.7464,0.02230,5.66335e+01,1.88277e-06,1659849988.5571811
55.0,54.7474,0.02230,5.66347e+01,1.87887e-06,1659849990.5970786
55.0,54.7475,0.02230,5.66355e+01,1.86724e-06,1659849992.6310802
55.0,54.7478,0.02230,5.66353e+01,1.87477e-06,1659849994.6571522
55.0,54.7465,0.02230,5.66364e+01,1.83510e-06,1659849996.6867244
55.0,54.7471,0.02230,5.66380e+01,1.81879e-06,1659849998.718039
55.0,54.7465,0.02230,5.66339e+01,1.87705e-06,1659850000.747068
55.0,54.7469,0.02230,5.66343e+01,1.87645e-06,1659850002.773874
55.0,54.7468,0.02230,5.66345e+01,1.87206e-06,1659850004.8008604
55.0,54.7475,0.02230,5.66352e+01,1.87150e-06,1659850006.8338256
55.0,54.7478,0.02230,5.66358e+01,1.86688e-06,1659850008.869262
55.0,54.7469,0.02230,5.66342e+01,1.87856e-06,1659850010.8920724
55.0,54.7473,0.02230,5.66341e+01,1.88643e-06,1659850012.9328358
55.0,54.7473,0.02230,5.66347e+01,1.87748e-06,1659850014.9629962
55.0,54.7465,0.02230,5.66336e+01,1.88218e-06,1659850016.999199
55.0,54.747,0.02230,5.66342e+01,1.88071e-06,1659850019.043065
55.0,54.7487,0.02230,5.66368e+01,1.86536e-06,1659850021.0836575
55.0,54.7459,0.02230,5.66336e+01,1.87293e-06,1659850023.123787
55.0,54.7471,0.02230,5.66346e+01,1.87562e-06,1659850025.1490853
55.0,54.7472,0.02230,5.66346e+01,1.87734e-06,1659850027.1712277
55.0,54.747,0.02230,5.66351e+01,1.86571e-06,1659850029.2092016
55.0,54.7464,0.02230,5.66333e+01,1.88514e-06,1659850031.2367787
55.0,54.747,0.02230,5.66337e+01,1.88830e-06,1659850033.2710335
55.0,54.7481,0.02230,5.66357e+01,1.87305e-06,1659850035.3116643
55.0,54.7466,0.02230,5.66338e+01,1.88100e-06,1659850037.3333933
55.0,54.7475,0.02230,5.66347e+01,1.87997e-06,1659850039.3605075
55.0,54.748,0.02230,5.66354e+01,1.87713e-06,1659850041.3989263
55.0,54.7481,0.02230,5.66343e+01,1.89650e-06,1659850043.4277444
55.0,54.7481,0.02230,5.66348e+01,1.88909e-06,1659850045.4631045
55.0,54.7469,0.02230,5.66341e+01,1.88073e-06,1659850047.4918797
55.0,54.7471,0.02230,5.66335e+01,1.89364e-06,1659850049.516675
55.0,54.7474,0.02230,5.66345e+01,1.88286e-06,1659850051.558882
55.0,54.7464,0.02230,5.66327e+01,1.89492e-06,1659850053.5915294
55.0,54.7473,0.02230,5.66336e+01,1.89578e-06,1659850055.6215231
55.0,54.747,0.02230,5.66343e+01,1.87938e-06,1659850057.6611946
55.0,54.7468,0.02230,5.66343e+01,1.87621e-06,1659850059.6948402
55.0,54.7465,0.02230,5.66336e+01,1.88183e-06,1659850061.7208912
55.0,54.7472,0.02230,5.66335e+01,1.89491e-06,1659850063.7484934
55.0,54.747,0.02230,5.66331e+01,1.89881e-06,1659850065.7797992
55.0,54.747,0.02230,5.66334e+01,1.89370e-06,1659850067.803973
55.0,54.7472,0.02230,5.66336e+01,1.89354e-06,1659850069.8430002
55.0,54.7467,0.02230,5.66342e+01,1.87492e-06,1659850071.8717616
55.0,54.7459,0.02230,5.66323e+01,1.89313e-06,1659850073.9015882
55.0,54.7472,0.02230,5.66344e+01,1.88061e-06,1659850075.9404242
55.0,54.7465,0.02230,5.66330e+01,1.89151e-06,1659850077.9658368
55.0,54.7466,0.02230,5.66338e+01,1.87972e-06,1659850080.0011907
55.0,54.7471,0.02230,5.66340e+01,1.88486e-06,1659850082.0197716
55.0,54.7465,0.02230,5.66324e+01,1.90187e-06,1659850084.0473099
55.0,54.7468,0.02230,5.66339e+01,1.88284e-06,1659850086.083773
55.0,54.7469,0.02230,5.66363e+01,1.84444e-06,1659850088.1200225
55.0,54.747,0.02230,5.66366e+01,1.84027e-06,1659850090.1591358
55.0,54.7467,0.02230,5.66333e+01,1.89041e-06,1659850092.1948504
55.0,54.7474,0.02230,5.66340e+01,1.89037e-06,1659850094.2219627
55.0,54.7472,0.02230,5.66346e+01,1.87683e-06,1659850096.2666569
55.0,54.747,0.02230,5.66339e+01,1.88488e-06,1659850098.2971222
55.0,54.7472,0.02230,5.66337e+01,1.89201e-06,1659850100.326959
