Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH1 Source
1,1,207,19.00000E-006,799.64100E-015,38.10240E+000,0.00000E+000
1,1,208,17.00000E-006,808.12800E-015,38.27640E+000,0.00000E+000
1,1,209,19.00000E-006,801.28400E-015,38.49045E+000,0.00000E+000
1,1,210,15.00000E-006,805.46400E-015,38.66658E+000,0.00000E+000
1,1,211,21.00000E-006,807.07700E-015,38.84088E+000,0.00000E+000
1,1,212,15.00000E-006,802.74800E-015,39.05161E+000,0.00000E+000
1,1,213,20.00000E-006,802.09400E-015,39.22724E+000,0.00000E+000
1,1,214,13.00000E-006,807.55900E-015,39.40124E+000,0.00000E+000
1,1,215,23.00000E-006,806.41400E-015,39.60780E+000,0.00000E+000
1,1,216,14.00000E-006,811.55900E-015,39.78183E+000,0.00000E+000
1,1,217,22.00000E-006,815.31200E-015,39.95585E+000,0.00000E+000
1,1,218,25.00000E-006,818.87500E-015,40.17502E+000,0.00000E+000
1,1,219,10.00000E-006,819.26500E-015,40.34906E+000,0.00000E+000
1,1,220,25.00000E-006,817.42600E-015,40.52386E+000,0.00000E+000
1,1,221,21.00000E-006,820.18400E-015,40.73871E+000,0.00000E+000
1,1,222,17.00000E-006,817.92700E-015,40.92051E+000,0.00000E+000
1,1,223,23.00000E-006,814.91800E-015,41.09458E+000,0.00000E+000
1,1,224,23.00000E-006,819.21200E-015,41.30524E+000,0.00000E+000
1,1,225,17.00000E-006,816.85300E-015,41.47926E+000,0.00000E+000
1,1,226,15.00000E-006,816.58400E-015,41.65329E+000,0.00000E+000
1,1,227,7.00000E-006,821.67200E-015,41.86585E+000,0.00000E+000
1,1,228,30.00000E-006,820.08200E-015,42.03989E+000,0.00000E+000
1,1,229,7.00000E-006,812.02100E-015,42.21415E+000,0.00000E+000
1,1,230,21.00000E-006,806.16000E-015,42.42089E+000,0.00000E+000
1,1,231,3.00000E-006,792.53500E-015,42.59906E+000,0.00000E+000
1,1,232,30.00000E-006,789.19700E-015,42.77308E+000,0.00000E+000
1,1,233,9.00000E-006,775.23400E-015,42.96870E+000,0.00000E+000
1,1,234,29.00000E-006,763.95600E-015,43.14288E+000,0.00000E+000
1,1,235,1.00000E-006,760.17600E-015,43.31692E+000,0.00000E+000
1,1,236,35.00000E-006,755.63300E-015,43.52354E+000,0.00000E+000
1,1,237,13.00000E-006,747.56700E-015,43.70241E+000,0.00000E+000
1,1,238,3.00000E-006,739.19200E-015,43.87987E+000,0.00000E+000
1,1,239,23.00000E-006,733.83600E-015,44.09361E+000,0.00000E+000
1,1,240,15.00000E-006,728.12900E-015,44.26905E+000,0.00000E+000
1,1,241,-3.00000E-006,718.32800E-015,44.44762E+000,0.00000E+000
1,1,242,-4.00000E-006,723.34300E-015,44.64924E+000,0.00000E+000
1,1,243,28.00000E-006,719.84600E-015,44.82621E+000,0.00000E+000
1,1,244,27.00000E-006,713.93200E-015,45.00344E+000,0.00000E+000
1,1,245,14.00000E-006,711.53300E-015,45.21829E+000,0.00000E+000
1,1,246,4.00000E-006,694.97000E-015,45.39522E+000,0.00000E+000
1,1,247,37.00000E-006,684.34200E-015,45.57060E+000,0.00000E+000
1,1,248,38.00000E-006,678.38400E-015,45.77393E+000,0.00000E+000
1,1,249,-3.00000E-006,673.78800E-015,45.94928E+000,0.00000E+000
1,1,250,40.00000E-006,672.61800E-015,46.12330E+000,0.00000E+000
1,1,251,37.00000E-006,668.75000E-015,46.32043E+000,0.00000E+000
1,1,252,6.00000E-006,666.57600E-015,46.49447E+000,0.00000E+000
1,1,253,23.00000E-006,662.37000E-015,46.66852E+000,0.00000E+000
1,1,254,22.00000E-006,659.72900E-015,46.86841E+000,0.00000E+000
1,1,255,20.00000E-006,663.32300E-015,47.04248E+000,0.00000E+000
1,1,256,26.00000E-006,665.58800E-015,47.21849E+000,0.00000E+000
1,1,257,32.00000E-006,661.90300E-015,47.44001E+000,0.00000E+000
1,1,258,19.00000E-006,663.96800E-015,47.61773E+000,0.00000E+000
1,1,259,3.00000E-006,662.13200E-015,47.79483E+000,0.00000E+000
1,1,260,1.00000E-006,664.58400E-015,47.99616E+000,0.00000E+000
1,1,261,30.00000E-006,670.02900E-015,48.17020E+000,0.00000E+000
1,1,262,6.00000E-006,674.24400E-015,48.34422E+000,0.00000E+000
1,1,263,10.00000E-006,672.97800E-015,48.54345E+000,0.00000E+000
1,1,264,18.00000E-006,671.09200E-015,48.71752E+000,0.00000E+000
1,1,265,16.00000E-006,667.87800E-015,48.89237E+000,0.00000E+000
1,1,266,18.00000E-006,669.13900E-015,49.11787E+000,0.00000E+000
1,1,267,13.00000E-006,669.88000E-015,49.29928E+000,0.00000E+000
1,1,268,16.00000E-006,664.26000E-015,49.47380E+000,0.00000E+000
1,1,269,18.00000E-006,659.64100E-015,49.67242E+000,0.00000E+000
1,1,270,19.00000E-006,658.58100E-015,49.84647E+000,0.00000E+000
1,1,271,13.00000E-006,653.77200E-015,50.02082E+000,0.00000E+000
1,1,272,18.00000E-006,645.62600E-015,50.24152E+000,0.00000E+000
1,1,273,13.00000E-006,637.63500E-015,50.42346E+000,0.00000E+000
1,1,274,24.00000E-006,633.87800E-015,50.59747E+000,0.00000E+000
1,1,275,20.00000E-006,628.55800E-015,50.79921E+000,0.00000E+000
1,1,276,15.00000E-006,619.62600E-015,50.97465E+000,0.00000E+000
1,1,277,24.00000E-006,606.16700E-015,51.14869E+000,0.00000E+000
1,1,278,13.00000E-006,583.28600E-015,51.37462E+000,0.00000E+000
1,1,279,1.00000E-006,564.63700E-015,51.55547E+000,0.00000E+000
1,1,280,34.00000E-006,543.89700E-015,51.72951E+000,0.00000E+000
1,1,281,-1.00000E-006,526.26700E-015,51.92306E+000,0.00000E+000
1,1,282,30.00000E-006,509.18300E-015,52.09875E+000,0.00000E+000
1,1,283,0.00000E+000,497.06800E-015,52.27363E+000,0.00000E+000
1,1,284,24.00000E-006,486.90100E-015,52.48325E+000,0.00000E+000
1,1,285,25.00000E-006,468.87900E-015,52.66030E+000,0.00000E+000
1,1,286,-5.00000E-006,457.79900E-015,52.83660E+000,0.00000E+000
1,1,287,-8.00000E-006,444.63000E-015,53.05659E+000,0.00000E+000
1,1,288,31.00000E-006,430.27700E-015,53.23317E+000,0.00000E+000
1,1,289,-8.00000E-006,416.55000E-015,53.40719E+000,0.00000E+000
1,1,290,10.00000E-006,405.03100E-015,53.59226E+000,0.00000E+000
1,1,291,19.00000E-006,402.23000E-015,53.76830E+000,0.00000E+000
1,1,292,42.00000E-006,401.59700E-015,53.94575E+000,0.00000E+000
1,1,293,24.00000E-006,392.07000E-015,54.16108E+000,0.00000E+000
1,1,294,-10.00000E-006,378.69000E-015,54.33838E+000,0.00000E+000
1,1,295,52.00000E-006,368.44100E-015,54.51498E+000,0.00000E+000
1,1,296,5.00000E-006,361.39900E-015,54.72025E+000,0.00000E+000
1,1,297,48.00000E-006,362.09900E-015,54.89727E+000,0.00000E+000
1,1,298,-16.00000E-006,355.91500E-015,55.07386E+000,0.00000E+000
1,1,299,-13.00000E-006,355.70200E-015,55.28978E+000,0.00000E+000
1,1,300,53.00000E-006,361.24200E-015,55.46543E+000,0.00000E+000
1,1,301,-12.00000E-006,366.41500E-015,55.63949E+000,0.00000E+000
1,1,302,53.00000E-006,373.11700E-015,55.84913E+000,0.00000E+000
1,1,303,-11.00000E-006,377.64200E-015,56.02313E+000,0.00000E+000
